Sample,U238_ppm_mean,U238_ppm_2SE,Mg24_ppm_mean,Mg24_ppm_2SE,Al27_ppm_mean,Al27_ppm_2SE,Si28_ppm_mean,Si28_ppm_2SE,P31_ppm_mean,P31_ppm_2SE,Ca43_ppm_mean,Ca43_ppm_2SE,Fe56_ppm_mean,Fe56_ppm_2SE,Sr88_ppm_mean,Sr88_ppm_2SE,Y89_ppm_mean,Y89_ppm_2SE,Ba137_ppm_mean,Ba137_ppm_2SE,La139_ppm_mean,La139_ppm_2SE,Ce140_ppm_mean,Ce140_ppm_2SE,Pr141_ppm_mean,Pr141_ppm_2SE,Nd146_ppm_mean,Nd146_ppm_2SE,Sm147_ppm_mean,Sm147_ppm_2SE,Eu153_ppm_mean,Eu153_ppm_2SE,Gd157_ppm_mean,Gd157_ppm_2SE,Tb159_ppm_mean,Tb159_ppm_2SE,Dy163_ppm_mean,Dy163_ppm_2SE,Ho165_ppm_mean,Ho165_ppm_2SE,Er166_ppm_mean,Er166_ppm_2SE,Tm169_ppm_mean,Tm169_ppm_2SE,Yb172_ppm_mean,Yb172_ppm_2SE,Lu175_ppm_mean,Lu175_ppm_2SE,Ca44_CPS_mean,Ca44_CPS_2SE,Type
1,26,1,128,2,3,0,"10,586",266,"95,828","1,106","451,059","5,039","9,936",311,372,5,547,8,1,0,"1,793",24,"4,049",56,488,6,"1,557",23,246,3,13,0,188,3,21,0,107,1,20,0,50,1,6,0,34,0,5,0,"3,356,770","33,264",Barren
2,25,0,190,10,341,102,"2,100",199,"98,008","1,135","462,119","5,482","5,503",272,392,5,580,8,1,0,"1,970",25,"4,377",64,527,7,"1,602",21,251,4,14,0,197,3,23,0,113,2,21,0,52,1,6,0,37,1,5,0,"3,286,790","30,543",Barren
3,25,1,238,28,414,80,"4,144",505,"92,872","1,280","457,676","5,326","3,117",172,375,5,565,7,2,0,"1,750",21,"3,777",55,475,6,"1,584",20,241,3,14,0,193,2,22,0,109,1,21,0,51,1,6,0,36,1,5,0,"3,190,570","44,393",Barren
4,31,1,125,2,4,0,"2,174",182,"92,963","1,619","447,646","7,185","1,853",37,383,6,635,9,1,0,"1,918",38,"4,530",78,533,8,"1,778",34,276,5,13,0,223,4,25,0,125,2,23,0,56,1,7,0,37,1,5,0,"3,391,610","37,971",Barren
5,36,1,75,2,3,0,"3,053",301,"99,237","1,441","458,163","5,782",674,34,371,6,555,11,0,0,"1,265",31,"3,169",62,426,9,"1,422",26,230,4,17,0,180,3,22,0,108,2,20,0,48,1,6,0,37,1,5,0,"3,304,560","42,201",Barren
6,35,1,89,2,15,5,"1,529",388,"93,636","1,513","439,088","7,857",581,23,354,5,505,8,0,0,"1,357",23,"3,195",72,414,8,"1,367",25,227,4,15,0,173,4,20,1,98,2,19,0,46,1,5,0,34,1,5,0,"3,427,280","46,383",Barren
7,63,1,80,2,12,3,"3,547",272,"93,776","2,119","430,582","9,352",768,31,348,5,724,12,1,0,"1,748",28,"4,435",111,537,13,"1,754",37,284,6,20,0,226,5,26,1,132,3,26,1,62,1,8,0,49,1,7,0,"3,300,170","46,998",Barren
8,31,1,113,3,1,0,"3,118",321,"93,519","1,154","446,464","7,186","1,068",28,376,6,617,10,1,0,"1,801",31,"4,240",72,520,8,"1,649",28,257,5,14,0,201,3,24,0,120,2,23,0,55,1,6,0,36,1,5,0,"3,364,980","39,177",Barren
9,37,1,148,10,19,6,"6,542",311,"95,616","1,130","442,815","4,654","1,149",27,393,6,549,7,1,0,"2,014",23,"4,671",56,546,7,"1,697",21,257,3,14,0,194,2,22,0,109,2,20,0,51,1,6,0,37,1,5,0,"3,261,690","28,619",Barren
10,32,1,130,2,6,1,"-1,741",412,"92,788","1,161","438,362","5,203",861,18,392,6,555,7,1,0,"2,032",26,"4,687",53,561,7,"1,724",21,252,4,14,0,193,3,22,0,106,1,20,0,50,1,6,0,36,1,5,0,"3,332,220","32,843",Barren
11,33,1,110,4,2,0,"4,913",256,"90,605","1,285","428,461","5,753",515,14,368,5,517,8,1,0,"1,815",36,"4,327",81,483,9,"1,571",26,243,4,13,0,188,3,22,0,106,2,19,0,47,1,6,0,35,1,5,0,"3,315,160","34,413",Barren
12,33,1,115,6,6,1,"2,545",280,"91,831","1,232","427,913","6,434",491,20,358,6,527,8,0,0,"1,735",46,"4,386",102,475,9,"1,530",31,238,4,13,0,185,3,21,0,105,2,19,0,47,1,6,0,34,1,5,0,"3,361,760","30,592",Barren
13,34,1,120,2,2,0,"6,257",244,"88,856","1,363","434,136","6,237",468,10,375,6,518,9,1,0,"1,805",35,"4,410",62,480,9,"1,606",24,246,4,12,0,179,3,21,0,104,2,19,0,46,1,5,0,32,0,4,0,"3,348,030","40,988",Barren
14,30,0,131,2,3,0,"4,870",358,"98,997","1,643","445,258","5,857",532,20,402,6,577,12,1,0,"1,781",33,"4,059",71,482,9,"1,627",37,270,5,13,0,197,3,23,0,119,2,21,0,51,1,6,0,36,1,5,0,"3,160,880","32,060",Barren
15,27,1,140,3,5,1,"4,054",253,"90,944","1,792","439,946","7,458",570,17,406,8,582,11,1,0,"1,877",43,"4,433",80,499,9,"1,635",33,275,7,13,0,199,4,24,0,118,2,22,0,54,1,6,0,35,1,5,0,"3,255,440","47,870",Barren
16,21,1,347,46,196,37,"3,872",254,"92,910","1,127","428,550","6,255",896,77,389,6,566,9,1,0,"1,879",30,"4,418",69,489,7,"1,645",24,263,4,13,0,196,3,24,0,117,2,22,0,52,1,6,0,36,1,5,0,"3,218,150","43,608",Barren
17,21,1,233,18,77,13,"3,122",252,"90,006","1,305","443,235","5,092",759,38,390,7,584,9,1,0,"1,820",25,"4,536",57,517,7,"1,710",27,274,4,13,0,200,3,25,0,120,2,22,0,52,1,6,0,36,1,5,0,"3,154,380","34,028",Barren
18,56,2,983,135,745,138,"6,058",484,"92,749","1,241","437,347","5,655","2,402",342,345,5,695,16,5,1,"1,826",35,"4,742",78,564,10,"1,864",35,302,6,18,1,228,5,28,1,144,3,26,1,65,2,8,0,47,1,7,0,"3,193,400","33,672",Barren
19,51,1,411,24,216,21,"6,835",220,"89,972","1,077","424,175","5,573",904,44,343,4,652,11,2,0,"1,747",21,"4,678",58,537,7,"1,824",35,288,5,17,0,217,4,27,1,134,2,24,0,61,1,7,0,45,1,6,0,"3,254,630","31,194",Barren
20,29,1,183,30,38,11,-985,489,"91,461","1,060","437,959","6,197",494,23,384,5,640,9,1,0,"1,592",25,"3,925",58,464,6,"1,607",22,273,4,13,0,215,2,27,0,129,2,24,0,57,1,7,0,39,1,5,0,"3,184,620","29,746",Barren
21,27,0,419,55,200,36,"6,105",219,"92,769","1,192","438,328","5,433","17,277","20,950",374,4,642,8,1,0,"1,562",22,"3,874",57,456,7,"1,576",21,262,3,12,0,214,3,25,0,124,2,23,0,56,1,6,0,37,1,5,0,"3,302,910","31,962",Barren
22,43,1,433,81,163,39,"2,348",465,"95,442","1,389","453,178","5,828","-3,842",266,367,5,738,12,1,0,"1,294",34,"3,475",73,428,9,"1,595",34,281,5,21,1,222,4,28,1,145,3,27,1,66,1,8,0,50,1,7,0,"3,232,770","33,790",Barren
23,69,3,"8,313",989,"7,047",934,"17,759","2,000","98,718","1,428","451,233","5,952","-31,956","4,122",348,6,"1,029",30,38,7,"1,692",45,"4,843",108,617,17,"2,201",53,392,10,23,1,310,8,40,1,207,6,38,1,98,3,12,0,75,2,11,0,"3,000,770","47,962",Barren
24,57,2,338,52,233,60,"4,870",241,"92,403","1,327","441,470","6,583","-1,348",159,350,6,"1,005",26,1,0,"1,741",39,"4,935",111,592,15,"2,141",59,374,9,21,0,307,8,38,1,192,4,37,1,90,2,11,0,67,1,9,0,"3,449,890","38,228",Barren
25,45,1,140,9,36,8,"3,222",245,"99,616","1,227","456,487","6,077",-664,40,363,5,881,15,1,0,"1,684",24,"4,695",72,574,9,"2,027",29,356,5,18,0,281,4,34,0,178,3,34,1,85,1,10,0,61,1,8,0,"3,326,030","28,778",Barren
26,42,1,"1,051",189,"4,193","1,608","13,036","4,016","95,583",983,"444,530","4,499","-1,393",267,388,8,629,10,3,1,"1,462",20,"3,953",46,470,6,"1,597",20,258,4,18,0,200,3,24,0,122,2,23,0,58,1,8,0,46,1,6,0,"3,343,180","33,641",Barren
27,23,1,150,3,59,13,"3,512",266,"97,683","1,922","461,050","10,514",-545,19,398,9,578,10,1,0,"1,927",35,"4,691",103,499,10,"1,655",26,242,5,13,0,192,4,22,0,110,2,21,0,56,1,6,0,37,1,5,0,"3,447,720","49,795",Barren
28,21,1,136,3,13,3,517,282,"95,381","1,718","431,867","7,236",-480,18,393,7,554,10,1,0,"1,756",32,"4,479",71,504,11,"1,605",27,247,5,13,0,194,4,20,0,103,2,20,0,49,1,6,0,36,1,5,0,"3,556,450","40,038",Barren
29,24,1,135,3,19,7,"5,093",467,"95,404","1,580","427,431","8,222",-422,16,387,6,553,10,1,0,"1,825",39,"4,549",78,513,7,"1,660",34,238,3,13,0,189,4,22,0,108,2,20,0,50,1,6,0,35,1,5,0,"3,546,020","43,711",Barren
30,32,1,"1,123",414,609,238,539,573,"96,542","1,149","449,712","5,704",-541,202,312,5,111,2,1,0,"1,512",27,"1,947",32,165,3,501,8,57,1,11,0,45,1,5,0,20,0,4,0,9,0,1,0,8,0,2,0,"3,378,550","35,034",PCD
31,31,1,761,206,433,126,"6,154",401,"92,283","1,069","433,771","6,321",-638,136,319,6,102,2,1,0,"1,340",21,"1,760",33,147,3,433,9,53,1,10,0,43,1,4,0,17,0,3,0,9,0,1,0,7,0,1,0,"3,382,990","43,573",PCD
32,47,1,"1,126",130,515,59,"5,571",342,"96,654","1,161","454,351","4,969","-1,192",121,271,4,133,2,3,0,"1,748",24,"2,348",29,209,3,619,8,76,1,13,0,58,1,6,0,25,0,4,0,12,0,1,0,9,0,2,0,"3,339,560","28,963",PCD
33,37,1,515,63,277,40,"5,793",247,"93,894","1,011","451,031","4,770",-907,86,264,3,121,3,1,0,"1,558",19,"2,157",36,179,3,539,9,70,2,12,0,57,1,5,0,24,1,4,0,10,0,1,0,8,0,1,0,"3,395,160","31,500",PCD
34,56,1,341,48,135,25,"4,058",269,"96,782","1,369","466,361","5,777",-462,49,289,4,121,2,3,0,"1,739",31,"2,223",38,185,4,540,8,67,1,11,0,53,1,5,0,22,0,4,0,10,0,1,0,8,0,1,0,"3,262,260","28,701",PCD
35,61,2,468,81,362,66,"3,712",269,"96,904","1,246","438,632","5,173",-985,138,268,4,107,1,2,0,"1,581",24,"2,048",31,178,3,507,8,61,1,12,0,50,1,5,0,22,0,4,0,10,0,1,0,8,0,1,0,"3,384,660","36,191",PCD
36,12,1,207,19,98,28,"4,524",216,"94,195",974,"444,226","4,741",-844,27,397,6,228,4,6,1,"2,012",25,"3,646",58,370,7,"1,279",24,177,4,26,0,127,3,12,0,54,1,9,0,22,0,2,0,14,0,2,0,"3,329,560","26,267",PCD
37,55,2,680,161,318,79,"4,495",256,"92,394","1,410","449,753","6,146","-2,551",461,312,4,81,3,1,0,"1,335",29,"1,604",38,127,4,383,13,47,2,10,0,35,2,3,0,16,1,3,0,7,0,1,0,6,0,1,0,"3,286,520","34,389",PCD
38,52,2,183,38,3,0,"5,149",202,"96,698","1,116","450,735","5,083","-6,113","3,549",318,6,73,2,1,0,"1,250",25,"1,542",41,118,3,351,12,39,1,9,0,32,1,3,0,13,0,2,0,6,0,1,0,5,0,1,0,"3,161,010","29,150",PCD
39,43,1,471,48,108,21,"4,444",188,"92,787","1,009","442,813","4,164","2,334",212,321,4,82,1,1,0,"1,073",13,"1,332",15,114,1,359,4,45,1,7,0,37,1,4,0,16,0,3,0,7,0,1,0,5,0,1,0,"3,349,270","26,066",PCD
40,48,1,265,29,16,3,"-3,078",274,"91,290",964,"434,140","4,895",489,47,310,4,104,2,1,0,"1,277",15,"1,617",22,138,2,450,8,59,1,9,0,48,1,5,0,22,1,4,0,9,0,1,0,7,0,1,0,"3,380,770","30,445",PCD
41,50,1,260,32,90,21,"4,170",189,"90,706",961,"440,034","4,204",397,33,321,4,116,3,1,0,"1,327",21,"1,730",28,150,3,486,12,68,2,9,0,55,1,5,0,24,1,4,0,11,0,1,0,8,0,1,0,"3,335,760","28,281",PCD
